loan_id,customer_age,loan_amount,loan_tenure_months,interest_rate,monthly_income,credit_score,default_within_3m
78,41,346509,24,11.3,3664,500,1
79,36,186650,24,8.3,16805,688,0
80,65,360439,24,10.6,6799,583,1
81,38,132940,48,7.3,28531,671,0
82,44,163453,24,13.6,18435,711,0
83,46,379413,36,13.3,4265,535,1
84,45,382893,60,12.5,3757,465,1
85,65,632587,36,15.1,4849,528,1
86,61,347575,48,10.9,6611,563,1
87,49,456367,24,16.4,2895,567,1
88,35,472894,24,17,5746,504,1
89,65,104025,12,7.5,14387,718,0
90,21,466198,24,12.4,6380,503,1
91,45,154081,36,12.5,25281,672,0
92,27,671815,24,15.7,5974,544,0
93,29,172918,24,10.6,9412,703,0
94,44,369299,24,13.3,2675,552,1
95,21,115923,36,7.9,25048,686,0
96,64,726863,36,16.2,4143,570,1
97,28,372007,36,12.2,5440,562,1
98,44,479860,36,16.9,7917,503,1
99,31,101939,48,11.2,26749,675,0
100,37,555343,12,13.8,6171,518,1
101,28,164613,48,8.7,14486,722,0
102,55,561545,48,11.9,5636,522,1
103,55,187671,24,7,20174,712,0
104,53,176698,60,8.7,13846,713,0
105,25,95286,60,7.8,20516,702,0
106,62,342866,24,16.1,7512,533,1
107,59,464940,36,10.7,5236,570,1
108,61,125452,60,7.7,26749,689,0
109,48,528034,48,17.1,7301,452,1
110,27,373311,24,14.8,5522,471,1
111,29,415018,36,17.2,7779,568,1
112,28,327020,36,15.5,6285,472,1
113,32,305922,36,10.5,2928,533,0
114,54,395602,48,12.7,3250,501,1
115,53,161081,36,11,28760,674,0
116,43,186918,36,12.4,17053,732,0
117,44,567706,48,9.9,3353,607,1
118,57,605921,12,16.8,7467,468,1
119,55,273309,36,8.4,9539,644,0
120,64,181012,48,8.9,11779,668,0
121,60,520401,60,15,6485,454,1
122,42,363536,36,13.1,6972,478,1
123,47,111845,36,10.1,11193,636,0
124,55,135196,24,7.8,15938,689,0
125,21,556993,36,15.3,2510,511,0
126,55,527503,36,11.5,4000,565,1
127,57,88826,36,9.2,12636,687,1
128,34,204562,36,13.4,21338,685,1
129,23,167771,36,13,21775,673,0
130,21,492636,12,15.4,2249,561,1
131,25,93940,36,11.1,13363,691,0
132,46,122136,36,10.9,10252,755,0
133,34,579531,36,13.9,6859,522,1
134,59,179034,24,8,19209,714,0
135,47,500736,60,10.6,7115,502,1
136,29,189466,48,9.8,13892,652,0
137,35,135998,48,8.7,16941,626,0
138,35,191678,48,12.9,21015,696,0
139,46,541427,36,13.3,5445,507,1
140,62,615940,24,10.7,2280,533,1
141,33,620936,36,11.2,3969,429,1
142,52,305212,48,13.6,7585,531,1
143,59,488668,48,8.9,2523,504,1
144,52,176226,36,13.3,23124,660,0
145,24,231054,24,11.2,19453,722,0
146,50,674799,36,13,3276,540,0
147,57,92189,36,10.3,17717,671,0
148,43,137202,48,13.2,25748,697,1
149,59,158304,48,10.1,14870,662,0
150,65,94069,36,11.8,14750,717,1
151,35,185497,72,11.3,15229,688,0
152,63,455026,48,11.4,5283,433,1
153,49,356296,36,15.1,3169,525,1
154,56,585094,24,14.8,6007,422,1
155,33,539797,24,15.1,7637,535,1
156,52,219247,36,12.8,19554,683,0
157,27,221143,24,14,27117,698,0
158,42,354826,24,14.2,5517,419,0
159,48,485773,36,16.3,6854,511,1
160,22,217818,24,11.7,17837,721,1
161,62,461174,60,15.6,7560,528,1
162,65,268889,24,11.8,15469,715,0
163,26,430662,36,15.7,4048,461,1
164,48,285770,36,7.7,29618,688,0
165,48,219351,72,14.5,21977,770,1
166,64,594155,24,15.8,4060,471,1
167,64,538603,36,11.6,4376,527,1
168,40,162854,72,13.2,12490,746,0
169,50,666579,60,10.7,2235,548,1
170,31,405720,60,12.3,4635,587,1
171,48,656083,36,15.2,5643,515,0
172,45,601733,24,10.6,7947,492,1
173,59,381160,48,15.4,2077,397,1
174,53,103274,60,11.7,27520,706,0
175,21,219551,48,10.6,15943,647,0
176,47,407109,48,10.3,4190,424,0
177,33,481775,36,12.1,6033,575,1
178,61,213520,48,11.6,10970,663,0
179,23,158710,24,13.4,24374,689,0
180,59,557791,36,14.6,2922,540,0
181,26,697918,36,11.3,2950,505,1
182,28,437342,36,14.9,6612,502,1
183,47,162715,36,11.1,15371,804,0
184,29,219755,24,12.9,29103,702,1
185,57,97333,48,8,29609,709,1
186,53,582443,36,14.1,2793,519,1
187,62,135980,48,11.1,23153,658,0
188,64,447608,24,17.8,2345,528,1
189,44,232212,36,9,9827,676,0
190,35,383586,36,14.7,4935,505,1
191,52,524215,24,16.4,6146,494,1
192,52,536175,36,9.3,7526,492,1
193,44,182445,24,12.9,23755,674,0
194,61,84544,24,12,11708,726,1
195,32,165067,72,8.3,15456,741,0
196,59,676298,36,11,2385,461,1
197,22,559162,60,13.4,7034,542,1
198,23,456577,36,10.6,5572,528,0
199,57,451808,48,13,6757,496,1
200,37,540309,48,11.7,6944,497,1
201,22,175952,48,11.2,29806,672,0
202,22,583768,36,9.9,2951,485,1
203,48,354822,36,15.3,6524,604,1
204,43,256900,36,13.3,9768,679,0
205,57,428236,60,16,7083,472,1
206,52,112492,60,12.5,28719,654,0
207,53,148980,72,8.5,28835,726,0
208,21,508796,24,15.5,4490,641,1
209,39,114468,48,7.7,12300,702,0
210,22,482578,60,9.6,4143,513,1
211,64,178416,24,9.4,21175,730,0
212,46,360402,24,14.6,2822,440,0
213,52,219318,48,13.5,28978,659,0
214,26,262126,48,11.2,29875,680,1
215,52,568480,60,12.3,7000,433,1
216,24,221577,24,8.6,20093,689,1
217,31,423937,48,16.6,4106,508,1
218,37,397081,36,12.9,5186,575,1
219,58,521973,24,12.3,3304,478,1
220,44,685306,24,11.3,4051,537,1
221,25,498233,60,14.5,4175,518,1
222,54,192957,48,12.4,16184,657,1
223,26,105911,36,7.2,24988,737,0
224,42,196715,36,7.5,17646,745,0
225,31,414063,60,14.8,6797,498,1
226,36,123056,36,11.1,26770,694,1
227,53,389621,60,10.3,2186,531,0
228,29,419830,36,16.3,4711,538,1
229,26,256538,36,8.4,16715,636,0
230,36,526021,36,12.7,5920,625,1
231,49,128446,36,14,9153,624,0
232,23,118985,48,8.9,10240,724,1
233,40,557774,36,13.8,6226,496,1
234,56,393064,36,13.1,5004,545,1
235,39,525514,60,11.9,6107,556,1
236,46,367979,36,17.3,4708,583,1
237,23,179744,36,10.8,14319,693,0
238,39,515177,60,16,5993,491,1
239,40,503947,48,11.2,7135,580,1
240,52,460240,24,11.4,2628,481,1
241,27,227930,60,7.4,18018,730,1
